Common_RowID,SMILES_Solute,SMILES_Solvent,Temperature_K,LogS,required_feature_count,missing_feature_count,missing_feature_names,nan_feature_count,out_of_range_feature_count,tail_feature_count,out_of_range_features,temperature_status,solvent_domain,domain_status,mica_model_id,mica_learner,mica_feature_layer
330,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,283.15,-2.8981808939367553,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
331,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,288.15,-2.763897031304257,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
332,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,293.15,-2.5667621398841893,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
333,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,298.15,-2.4078183756977265,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
334,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,303.15,-2.303224613793591,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
335,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,308.15,-2.193877090124794,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
336,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,313.15,-2.1356484144786356,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
337,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,318.15,-2.04248364849467,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
338,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,323.15,-1.9560826584682585,52,0,,0,0,2,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
657,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,323.15,-4.491357110318077,52,0,,0,0,4,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
658,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,338.15,-4.098616327687801,52,0,,0,0,4,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
659,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,353.15,-3.869812147489723,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
660,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,368.15,-3.6233155884396377,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
661,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,383.15,-3.4164327079751144,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
958,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,278.15,-0.9465241873569872,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
959,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,283.15,-0.8922901354882344,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
960,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,288.15,-0.8545058416531066,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
961,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,293.15,-0.8093741463529338,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
962,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,298.15,-0.7665851277394433,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
963,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,303.15,-0.7242641060138514,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
964,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,308.15,-0.6794120477097328,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
965,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,313.15,-0.6335341333219154,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
966,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,318.15,-0.585870036804785,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
967,C1=Cc2ccccc2Nc2ccccc21,CCCOC(C)=O,323.15,-0.5433888060625882,52,0,,0,0,5,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
988,C1=Cc2ccccc2Nc2ccccc21,CN1CCCC1=O,278.15,0.4702359681805794,52,0,,0,0,8,,within_training_range,fixed_ood,PASS,cat-solv-47:xgboost,XGBoost,CAT-Solv-47
